"Title,Author,Publisher,Category,""Cover Type"",Shelf,Quantity,""Unit Price"""
"Donal Bebek Edisi Nostalgia,""Ranjau Lobster"",""PT Gramedia"",Comics,Paperback,,1,"
"Terhebat & Terdahsyat,""Edy Subagyo"",""PT Gramedia"",Comics,Paperback,,1,"
",""Djohan Tjahjadi"",""Bhuana Ilmu Populer"",""Science and Math"",Paperback,,1,"
"Islam is me,""Doni Kudjo"",Qultummedia,Comics,Paperback,,1,"
"Jangan Pergi Dodo!,""Kim Soong Ryeol"",""PT Elex Media Komputindo"",Comics,Paperback,,1,"
"Dorabase 7,""Mugiwara Shintaro & Fujiko F Fujio Production"",""Elex Media Komputindo"",Comics,Paperback,,1,"
"Archie's Giant kids Joke Book,""Jon Goldwater"",""Archie Comic Publications"",Comics,Paperback,,1,"
"Christopher Columbus,""Seri Tokoh Dunia"",""PT Elex Media Komputindo"",Comics,Paperback,,1,"
"Kuroko's Basketball,""Tadatoshi Fujimaki"",""PT Gramedia"",Comics,Paperback,,1,"
"Love Lies,""Christina Juzwar"",""PT Gramedia Pustaka Utama"",Comics,Paperback,,1,"
"Merajut Cinta Menggapai Surga,""El - Sutha"",""Zahira Press"",Novel,Paperback,,1,"
"Sains Untuk Anak 1,""Kumpulan Cerita"",""Bhuana Ilmu Populer"",""Science and Math"",Paperback,,1,"
"Kaya Dari Internet Marketing,""Suwandi Chow"",""Wijawiyata Media Utama"",""General Knowledge and Social Studies"",Paperback,,1,"
"Serba-serbi Kekebalan Tubuh,""Patrick A. Baeuerle, PH.D. Dan Norbert Landa"",""PT Gramedia Pustaka Utama"",""General Knowledge and Social Studies"",Paperback,,1,"
